"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","TOUR_GDP","TOT","PC_GDP","A","2013",2.847,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2014",2.712,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2015",2.733,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2016",2.896,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2017",2.908,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2018",2.882,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2019",2.876,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2020",1.48,"P"
"FRA","TOUR_GDP","TOT","PC_GDP","A","2010",7.271,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2011",7.53,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2012",7.553,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2013",7.518,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2014",7.478,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2015",7.322,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2016",7.095,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2017",7.223,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2018",7.333,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2019",7.47,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2020",5.329,"P"
"ISL","TOUR_GDP","TOT","PC_GDP","A","2009",3.522,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2010",3.443,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2011",3.694,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2012",4.183,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2013",4.69,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2014",5.491,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2015",6.455,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2016",8.187,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2017",8.02,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2018",8.077,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2019",8.077,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2020",3.623,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2021",4.189,"P"
"JPN","TOUR_GDP","TOT","PC_GDP","A","2008",1.874,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2009",1.832,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2010",1.705,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2011",1.678,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2012",1.724,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2013",1.776,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2014",1.664,"B"
"JPN","TOUR_GDP","TOT","PC_GDP","A","2015",1.821,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2016",1.944,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2017",1.97,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2018",1.945,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2019",1.986,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2008",8.107,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2009",8.16,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2010",8.017,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2011",7.908,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2012",7.95,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2013",8.183,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2014",8.063,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2015",8.179,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2016",8.019,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2017",8.025,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2018",7.944,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2019",8.002,"P"
"MEX","TOUR_GDP","TOT","PC_GDP","A","2020",6.315,"P"
"NOR","TOUR_GDP","TOT","PC_GDP","A","2008",3.014,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2009",3.326,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2010",3.235,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2011",3.37,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2012",3.325,"B"
"NOR","TOUR_GDP","TOT","PC_GDP","A","2013",3.339,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2014",3.321,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2015",3.546,"B"
"NOR","TOUR_GDP","TOT","PC_GDP","A","2016",3.802,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2017",3.68,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2018",3.386,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2019",3.576,
"POL","TOUR_GDP","TOT","PC_GDP","A","2008",2.17,
"POL","TOUR_GDP","TOT","PC_GDP","A","2009",1.588,
"POL","TOUR_GDP","TOT","PC_GDP","A","2010",1.59,
"POL","TOUR_GDP","TOT","PC_GDP","A","2011",1.782,
"POL","TOUR_GDP","TOT","PC_GDP","A","2012",2.101,
"POL","TOUR_GDP","TOT","PC_GDP","A","2013",1.299,
"POL","TOUR_GDP","TOT","PC_GDP","A","2015",1.175,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2008",2.893,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2009",2.579,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2010",2.432,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2011",2.568,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2012",2.738,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2013",2.3,"B"
"SVK","TOUR_GDP","TOT","PC_GDP","A","2014",2.108,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2015",2.529,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2016",2.628,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2017",2.56,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2018",2.679,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2019",2.784,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2008",10.241,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2009",9.852,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2010",10.309,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2011",10.52,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2012",10.786,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2013",10.763,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2014",10.95,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2015",11.06,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2016",11.34,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2017",12.14,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2018",12.223,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2019",12.435,"P"
"ESP","TOUR_GDP","TOT","PC_GDP","A","2020",5.473,"P"
"SWE","TOUR_GDP","TOT","PC_GDP","A","2008",2.27,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2009",2.354,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2010",2.166,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2011",2.23,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2012",2.345,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2013",2.287,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2014",2.255,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2015",2.65,"B"
"SWE","TOUR_GDP","TOT","PC_GDP","A","2016",2.737,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2017",2.601,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2018",2.598,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2019",2.44,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2020",1.691,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2021",1.93,
"CHL","TOUR_GDP","TOT","PC_GDP","A","2008",3.249,"E"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2009",3.319,"E"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2010",3.246,"E"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2011",3.157,"E"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2012",3.455,"E"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2013",3.136,
"CHL","TOUR_GDP","TOT","PC_GDP","A","2014",3.105,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2015",3.398,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2016",3.642,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2017",3.54,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2018",3.296,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2019",3.314,"P"
"CRI","TOUR_GDP","TOT","PC_GDP","A","2012",4.34,
"CRI","TOUR_GDP","TOT","PC_GDP","A","2013",4.576,
"CRI","TOUR_GDP","TOT","PC_GDP","A","2014",4.49,
"CRI","TOUR_GDP","TOT","PC_GDP","A","2015",4.571,
"CRI","TOUR_GDP","TOT","PC_GDP","A","2016",4.851,
"HRV","TOUR_GDP","TOT","PC_GDP","A","2011",10.153,
"HRV","TOUR_GDP","TOT","PC_GDP","A","2016",11.25,
"HRV","TOUR_GDP","TOT","PC_GDP","A","2019",11.823,
"EGY","TOUR_GDP","TOT","PC_GDP","A","2009",5.621,
"EGY","TOUR_GDP","TOT","PC_GDP","A","2010",6.266,
"EGY","TOUR_GDP","TOT","PC_GDP","A","2012",4.771,
"EGY","TOUR_GDP","TOT","PC_GDP","A","2013",3.87,
"EGY","TOUR_GDP","TOT","PC_GDP","A","2014",4.258,
"EST","TOUR_GDP","TOT","PC_GDP","A","2008",4.209,
"EST","TOUR_GDP","TOT","PC_GDP","A","2009",4.686,
"EST","TOUR_GDP","TOT","PC_GDP","A","2010",4.548,
"EST","TOUR_GDP","TOT","PC_GDP","A","2011",4.396,
"EST","TOUR_GDP","TOT","PC_GDP","A","2012",4.341,
"EST","TOUR_GDP","TOT","PC_GDP","A","2013",4.78,
"EST","TOUR_GDP","TOT","PC_GDP","A","2014",5.464,
"IND","TOUR_GDP","TOT","PC_GDP","A","2009",3.785,"E"
"IND","TOUR_GDP","TOT","PC_GDP","A","2010",3.738,"E"
"IND","TOUR_GDP","TOT","PC_GDP","A","2011",3.744,
"IND","TOUR_GDP","TOT","PC_GDP","A","2012",3.759,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2008",4.7,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2009",4.17,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2010",4.06,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2011",4,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2012",3.96,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2013",4.02,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2014",4.13,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2015",4.31,"E"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2016",4.651,"B"
"IDN","TOUR_GDP","TOT","PC_GDP","A","2017",4.675,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2018",4.912,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2019",4.966,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2020",2.241,"P"
"MLT","TOUR_GDP","TOT","PC_GDP","A","2010",5.906,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2009",6.921,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2010",7.127,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2011",6.917,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2012",6.911,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2013",6.588,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2014",6.69,"P"
"MAR","TOUR_GDP","TOT","PC_GDP","A","2015",6.444,"P"
"MAR","TOUR_GDP","TOT","PC_GDP","A","2016",6.598,"E"
"MAR","TOUR_GDP","TOT","PC_GDP","A","2017",6.811,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2018",6.934,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2019",7.119,
"PER","TOUR_GDP","TOT","PC_GDP","A","2011",3.551,
"PER","TOUR_GDP","TOT","PC_GDP","A","2012",3.616,
"PER","TOUR_GDP","TOT","PC_GDP","A","2013",3.707,
"PER","TOUR_GDP","TOT","PC_GDP","A","2014",3.784,
"PER","TOUR_GDP","TOT","PC_GDP","A","2015",3.86,
"PER","TOUR_GDP","TOT","PC_GDP","A","2016",3.86,
"PER","TOUR_GDP","TOT","PC_GDP","A","2017",3.86,
"PER","TOUR_GDP","TOT","PC_GDP","A","2018",3.86,"P"
"PER","TOUR_GDP","TOT","PC_GDP","A","2019",3.863,"P"
"PER","TOUR_GDP","TOT","PC_GDP","A","2020",1.455,
"PER","TOUR_GDP","TOT","PC_GDP","A","2021",1.828,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2008",5.645,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2009",5.807,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2010",6.204,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2011",6.799,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2012",7.045,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2013",7.229,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2014",7.537,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2015",8.208,
"PHL","TOUR_GDP","TOT","PC_GDP","A","2016",8.588,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2011",1.82,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2012",1.862,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2013",1.936,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2014",1.957,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2015",2.402,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2016",2.77,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2017",2.787,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2018",2.909,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2019",2.981,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2009",4.788,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2012",4.819,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2014",4.847,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2015",4.942,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2017",5.287,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2019",5.397,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2020",3.275,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2008",3.039,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2009",2.899,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2010",2.927,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2011",2.777,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2012",2.881,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2013",3.289,"B"
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2014",3.364,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2015",2.876,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2016",2.935,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2017",2.607,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2018",2.733,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2019",3.726,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2008",2.841,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2009",2.778,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2010",2.639,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2011",2.666,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2012",2.784,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2013",2.805,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2014",2.903,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2015",3.043,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2016",3.012,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2017",3.048,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2018",3.039,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2019",2.537,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2020",1.514,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2008",1.911,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2009",1.918,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2010",1.92,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2011",1.907,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2012",1.923,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2013",1.888,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2014",1.886,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2015",2.023,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2016",2.082,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2017",2.079,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2018",2.092,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2019",2.096,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2020",1.058,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2021",1.034,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2008",2.356,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2009",2.472,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2010",2.418,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2011",2.419,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2012",2.624,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2013",2.747,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2014",2.623,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2015",2.64,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2016",2.796,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2017",2.796,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2018",2.771,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2019",2.767,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2020",1.455,"P"
"DNK","TOUR_GDP","TOT","PC_GVA","A","2008",1.683,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2010",1.975,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2011",1.453,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2012",1.473,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2013",1.685,"B"
"DNK","TOUR_GDP","TOT","PC_GVA","A","2014",1.886,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2015",1.874,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2016",1.931,"B"
"DNK","TOUR_GDP","TOT","PC_GVA","A","2017",2.339,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2018",2.258,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2019",2.485,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2020",1.555,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2011",2.431,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2012",2.514,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2013",2.463,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2014",2.444,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2015",2.452,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2016",2.46,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2017",2.671,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2018",2.699,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2019",2.73,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2020",1.728,"P"
"DEU","TOUR_GDP","TOT","PC_GVA","A","2010",4.207,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2015",4.058,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2016",3.996,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2017",3.976,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2018",3.97,"P"
"DEU","TOUR_GDP","TOT","PC_GVA","A","2019",3.955,"P"
"GRC","TOUR_GDP","TOT","PC_GVA","A","2008",5.517,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2009",4.739,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2010",5.123,"B"
"GRC","TOUR_GDP","TOT","PC_GVA","A","2011",4.911,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2012",5.072,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2013",5.981,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2014",6.386,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2015",6.545,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2016",6.141,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2017",6.543,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2018",6.932,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2019",7.7,"P"
"GRC","TOUR_GDP","TOT","PC_GVA","A","2020",4.591,"P"
"HUN","TOUR_GDP","TOT","PC_GVA","A","2008",5.316,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2009",5.27,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2010",5.24,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2011",5.489,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2012",5.716,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2013",6.074,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2014",6.302,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2015",6.394,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2016",6.644,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2017",6.697,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2018",6.85,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2019",6.806,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2020",5.371,"P"
"ITA","TOUR_GDP","TOT","PC_GVA","A","2010",5.715,
"ITA","TOUR_GDP","TOT","PC_GVA","A","2015",5.902,
"ITA","TOUR_GDP","TOT","PC_GVA","A","2017",5.99,
"ITA","TOUR_GDP","TOT","PC_GVA","A","2019",6.207,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2008",8.32,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2009",8.513,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2010",8.355,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2011",8.19,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2012",8.2,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2013",8.515,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2014",8.503,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2015",8.681,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2016",8.554,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2017",8.494,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2018",8.41,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2019",8.499,"P"
"MEX","TOUR_GDP","TOT","PC_GVA","A","2020",6.741,"P"
"NLD","TOUR_GDP","TOT","PC_GVA","A","2010",3.152,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2011",3.177,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2012",3.294,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2013",3.421,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2014",3.688,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2015",3.953,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2016",4.173,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2017",4.297,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2018",4.37,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2019",4.392,
"NLD","TOUR_GDP","TOT","PC_GVA","A","2020",2.318,"P"
"NLD","TOUR_GDP","TOT","PC_GVA","A","2021",2.485,"P"
"NZL","TOUR_GDP","TOT","PC_GVA","A","2008",5.668,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2009",5.2,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2010",5.239,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2011",5.126,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2012",5.091,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2013",5.104,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2014",5.05,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2015",5.626,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2016",6.16,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2017",5.808,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2018",5.797,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2019",5.646,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2020",5.488,
"NZL","TOUR_GDP","TOT","PC_GVA","A","2021",,"P"
